symbol,open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
ETHUSDT,1768833600000,3208.31000000,3211.35000000,3208.11000000,3209.88000000,528.20970000,1768833899999,1695522.29703200,7284,140.17690000,449956.04819600,0
ETHUSDT,1768833900000,3209.87000000,3214.29000000,3207.85000000,3214.28000000,661.37970000,1768834199999,2123875.82156000,14976,338.88870000,1088287.38548600,0
ETHUSDT,1768834200000,3214.29000000,3215.85000000,3211.28000000,3212.95000000,622.92750000,1768834499999,2001530.52604900,11275,275.58970000,885529.23482100,0
ETHUSDT,1768834500000,3212.96000000,3213.50000000,3211.62000000,3213.00000000,256.51260000,1768834799999,824096.95353700,4255,135.62020000,435713.35814300,0
ETHUSDT,1768834800000,3213.00000000,3219.98000000,3213.00000000,3217.59000000,1176.57720000,1768835099999,3785056.79632500,18902,873.73320000,2810990.94857700,0
ETHUSDT,1768835100000,3217.59000000,3218.01000000,3215.39000000,3217.66000000,368.73560000,1768835399999,1186176.33295500,13596,156.61870000,503845.91307300,0
ETHUSDT,1768835400000,3217.67000000,3220.17000000,3214.89000000,3220.16000000,456.09150000,1768835699999,1467413.45326500,14793,238.96950000,768844.97456900,0
ETHUSDT,1768835700000,3220.17000000,3220.97000000,3216.11000000,3217.74000000,632.66010000,1768835999999,2036237.47121000,18048,223.77410000,720293.57778100,0
ETHUSDT,1768836000000,3217.75000000,3217.93000000,3215.00000000,3215.62000000,237.93560000,1768836299999,765190.88013200,11749,79.87250000,256873.26004600,0
ETHUSDT,1768836300000,3215.63000000,3217.92000000,3210.33000000,3211.84000000,405.64400000,1768836599999,1303780.28769200,11281,107.01090000,343946.95790000,0
ETHUSDT,1768836600000,3211.84000000,3216.51000000,3210.33000000,3216.51000000,327.40330000,1768836899999,1051768.41181200,10006,137.52190000,441870.22147100,0
ETHUSDT,1768836900000,3216.50000000,3217.75000000,3210.51000000,3212.14000000,965.30710000,1768837199999,3101880.26264600,14698,350.51460000,1126479.02060200,0
ETHUSDT,1768837200000,3212.14000000,3214.00000000,3212.14000000,3213.76000000,284.32500000,1768837499999,913627.20428500,5711,88.18570000,283342.73492000,0
ETHUSDT,1768837500000,3213.75000000,3218.24000000,3213.40000000,3216.09000000,660.84890000,1768837799999,2125624.93518100,8059,455.51350000,1465236.89182200,0
ETHUSDT,1768837800000,3216.09000000,3218.46000000,3215.10000000,3217.77000000,683.78650000,1768838099999,2199423.34653400,9080,261.44670000,841014.75570200,0
ETHUSDT,1768838100000,3217.77000000,3217.77000000,3216.00000000,3216.21000000,278.10230000,1768838399999,894594.29759200,5878,78.79870000,253453.89451400,0
ETHUSDT,1768838400000,3216.20000000,3218.58000000,3214.20000000,3218.47000000,711.66530000,1768838699999,2288693.06863300,15648,245.36150000,789096.32476700,0
ETHUSDT,1768838700000,3218.48000000,3218.99000000,3212.72000000,3213.49000000,1056.34870000,1768838999999,3396494.70612000,15673,184.30320000,592502.87899500,0
ETHUSDT,1768839000000,3213.48000000,3216.01000000,3213.06000000,3215.28000000,420.48370000,1768839299999,1351832.40272200,9130,122.85000000,394967.92189400,0
ETHUSDT,1768839300000,3215.28000000,3217.75000000,3213.61000000,3216.57000000,592.65560000,1768839599999,1905822.06317600,18504,219.81230000,706826.14473400,0
ETHUSDT,1768839600000,3216.57000000,3218.44000000,3215.33000000,3217.77000000,696.72140000,1768839899999,2241582.64723700,18957,205.44850000,661038.94321900,0
